Street Name	Record Count	Years	Amendment	Notes
1 Barfoot C. L.'s hill	1	1899		
1 Hicks Albert	28	1971		
11 Reynolds Geo. coal mer	10	1910		
13 Hill Sydney	4	1899		
14 Lane George	107	1898		
14ASalter Mrs. Clara	18	1910		
159a-160	66	1936		Investigate
161 and 162	43	1894		
17 Commercial-Road to Dock-Street	14	1910		
18 Hill Geo. brass finisher	13	1899		
18 Slade B. insptr. per. way	30	1894		
2 houses void	28	1910		
21 Hill Geo. Albt. carpenter	180	1903		
22 Hill H. J. manutfrs' agnt	42	1903		
23-23a	42	1927		Investigate
3 houses building	1	1910		
31 Hill George	8	1899		
34 St. Mary-st. to Clifton-Road	1	1910		
35-35a	206	1927; 1936		Investigate
39 Prosser	4	1898		
4 Lipton's Market	30	1894		
41 Hill Thos. Wm. eng. drvr	54	1899		
49 Griffiths D.joinr	32	1898		
49 Hill George	41	1893		
6 Hill Charles	110	1893		
69 Hill George	23	1899		
7/8 Junction Motors	37	1971		
87 Alma-street to Cardiff-Road	1	1910		
93	62	1894		
[Bassaleg-road to Upton-road.]	100	1910		
[more	11	1910		
Abbey Road	63	1946; 1950; 1971		
Abbott & Baker's stores	11	1910		
Aberthaw Avenue	13	1971	Aberthaw Avenue	
Aberthaw Circle	52	1971	Aberthaw Circle	
Aberthaw Road	380	1897; 1902; 1903; 1905; 1910; 1914; 1938; 1946; 1950; 1971		
Acacia Avenue	185	1927; 1933; 1936; 1938; 1946; 1950; 1971		
Acacia Square	86	1927; 1933; 1936; 1938; 1946; 1950; 1971		
Acacia Terrace	219	1893; 1894; 1899; 1902; 1903		
Acacia-avenue	4	1927		
Adam Street	51	1927		
Adelaide Street	212	1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Adeline Street	696	1886; 1890; 1897; 1905; 1910; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Adrian Boult Grn	23	1971		
Agincourt Street	844	1898; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Ailesbury Street	433	1890; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Alanbrooke Av	60	1971		
Albany Chambers	3	1905; 1938; 1946		
Albany Road	108	1902; 1905		Street is now St Vincent's Road. Add marker to St Vincent Road to indicate it used to be Albany Road.
Albany Street	633	1887; 1890; 1894; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Albany Terrace	100	1902; 1914; 1927; 1933; 1936		
Albert	2	1887		INvestigate
Albert Avenue	885	1890; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Albert Hall Chambers	1	1886		
Albert Place	6	1876		
Albert Street	189	1876; 1878; 1886; 1893; 1897; 1905; 1910; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Albert Terrace	217	1876; 1878; 1897; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Albert-terrace	13	1910		
Albion Chambers	4	1886; 1905; 1938; 1946		
Albion Street	382	1876; 1878; 1886; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Alder Grove	12	1971	Alder Grove	
Alderney Street	81	1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Alexandra Docks	377	1878; 1897; 1905; 1914; 1927; 1936; 1938; 1946; 1950; 1971		
Alexandra Road	1117	1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Alexandra School	31	1927		
Alexandra Schools	16	1910		
Alfred Street	306	1876; 1878; 1894; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Alice Street	593	1886; 1893; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Alice-street—continued	12	1910		
Allen Close	15	1971	Allen Close	
Allt-y-yn View	28	1936		
Allt-yr-yn	48	1971		
Allt-yr-yn Avenue	499	1927; 1933; 1936; 1938; 1946; 1950		
Allt-yr-yn Close	389	1933; 1936; 1938; 1946; 1950; 1971		
Allt-Yr-Yn Crescent	58	1971	Allt-Yr-Yn Crescent	
Allt-Yr-Yn Hospital	30	1936	Allt-Yr-Yn Hospital	
Allt-yr-yn Road	546	1933; 1936; 1938; 1946; 1950; 1971		
Allt-yr-yn View	268	1938; 1946; 1950; 1971		
Allt-Yr-Yn Way	10	1971	Allt-Yr-Yn Way	
Alma St. Baptist Church	74	1927	Alma St. Baptist Church	
